,id,name,type,link,gene_names,reaction
0,8,cpd:C00076,compound,https://www.kegg.jp/dbget-bin/www_bget?C00076,C00076,
1,15,path:hsa04742,map,https://www.kegg.jp/dbget-bin/www_bget?hsa04742,TITLE:Taste transduction,
2,17,cpd:C01330,compound,https://www.kegg.jp/dbget-bin/www_bget?C01330,C01330,
3,18,hsa:29850,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:29850,"TRPM5, LTRPC5, MTR1",
4,19,cpd:C01330,compound,https://www.kegg.jp/dbget-bin/www_bget?C01330,C01330,
5,21,hsa:80834,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:80834,"TAS1R2, GPR71, T1R2, TR2",
6,23,cpd:C01451,compound,https://www.kegg.jp/dbget-bin/www_bget?C01451,C01451,
7,25,hsa:23236 hsa:5330 hsa:5331 hsa:5332,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:23236+hsa:5330+hsa:5331+hsa:5332,"PLCB1, EIEE12, PI-PLC, PLC-154, PLC-I, PLC-beta-1, PLC154, PLCB1A, PLCB1B...",
8,26,cpd:C00076,compound,https://www.kegg.jp/dbget-bin/www_bget?C00076,C00076,
9,30,cpd:C01245,compound,https://www.kegg.jp/dbget-bin/www_bget?C01245,C01245,
10,31,hsa:3710,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:3710,"ITPR3, IP3R, IP3R3",
11,32,path:hsa04020,map,https://www.kegg.jp/dbget-bin/www_bget?hsa04020,Calcium signaling pathway,
12,36,cpd:C12284 dr:D08836 cpd:C19378 cpd:C11045,compound,https://www.kegg.jp/dbget-bin/www_bget?C12284+D08836+C19378+C11045,C12284...,
13,37,cpd:C00089 cpd:C00095 cpd:C00031 cpd:C00208,compound,https://www.kegg.jp/dbget-bin/www_bget?C00089+C00095+C00031+C00208,C00089...,
14,38,cpd:C00144,compound,https://www.kegg.jp/dbget-bin/www_bget?C00144,C00144,
15,41,cpd:C01330,compound,https://www.kegg.jp/dbget-bin/www_bget?C01330,C01330,
16,42,hsa:6326 hsa:6328 hsa:6335,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6326+hsa:6328+hsa:6335,"SCN2A, BFIC3, BFIS3, BFNIS, EA9, EIEE11, HBA, HBSCI, HBSCII, NAC2, Na(v)1.2, Nav1.2, SCN2A1, SCN2A2...",
17,45,hsa:5136 hsa:5137 hsa:5153,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5136+hsa:5137+hsa:5153,"PDE1A, CAM-PDE_1A, CAM-PDE-1A, HCAM-1, HCAM1, HSPDE1A...",
18,46,cpd:C00020,compound,https://www.kegg.jp/dbget-bin/www_bget?C00020,C00020,
19,47,cpd:C00575,compound,https://www.kegg.jp/dbget-bin/www_bget?C00575,C00575,
20,53,cpd:C00076,compound,https://www.kegg.jp/dbget-bin/www_bget?C00076,C00076,
21,54,hsa:773 hsa:775,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:773+hsa:775,"CACNA1A, APCA, BI, CACNL1A4, CAV2.1, EA2, EIEE42, FHM, HPCA, MHP, MHP1, SCA6...",
22,57,hsa:342372,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:342372,PKD1L3,
23,58,cpd:C01327,compound,https://www.kegg.jp/dbget-bin/www_bget?C01327,C01327,
24,60,cpd:C01330,compound,https://www.kegg.jp/dbget-bin/www_bget?C01330,C01330,
25,61,hsa:10021 hsa:6326,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:10021+hsa:6326,"HCN4, SSS2...",
26,62,hsa:255022,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:255022,"CALHM1, FAM26C",
27,64,cpd:C00008,compound,https://www.kegg.jp/dbget-bin/www_bget?C00008,C00008,
28,93,hsa:6337 hsa:6338 hsa:6340,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6337+hsa:6338+hsa:6340,"SCNN1A, BESC2, ENaCa, ENaCalpha, LIDLS3, SCNEA, SCNN1...",
29,94,hsa:954,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:954,"ENTPD2, CD39L1, NTPDase-2",
30,95,cpd:C00076,compound,https://www.kegg.jp/dbget-bin/www_bget?C00076,C00076,
31,98,hsa:259285 hsa:259286 hsa:259287 hsa:259289 hsa:259290 hsa:259291 hsa:259292 hsa:259293 hsa:259294 hsa:259295 hsa:259296 hsa:338398 hsa:353164 hsa:50831 hsa:50832 hsa:50833 hsa:50834 hsa:50835 hsa:50836 hsa:50837 hsa:50838 hsa:50839 hsa:50840 hsa:54429 hsa:5726,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:259285+hsa:259286+hsa:259287+hsa:259289+hsa:259290+hsa:259291+hsa:259292+hsa:259293+hsa:259294+hsa:259295+hsa:259296+hsa:338398+hsa:353164+hsa:50831+hsa:50832+hsa:50833+hsa:50834+hsa:50835+hsa:50836+hsa:50837+hsa:50838+hsa:50839+hsa:50840+hsa:54429+hsa:5726,"TAS2R39, T2R39, T2R57...",
32,101,hsa:80835,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:80835,"TAS1R1, GM148, GPR70, T1R1, TR1",
33,104,hsa:2911 hsa:2914,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:2911+hsa:2914,"GRM1, GPRC1A, MGLU1, MGLUR1, PPP1R85, SCA44, SCAR13...",
