,id,name,type,link,gene_names,reaction
0,14,path:hsa04660,map,https://www.kegg.jp/dbget-bin/www_bget?hsa04660,T cell receptor signaling pathway,
1,15,path:hsa04640,map,https://www.kegg.jp/dbget-bin/www_bget?hsa04640,Hematopoietic cell lineage,
2,16,path:hsa04662,map,https://www.kegg.jp/dbget-bin/www_bget?hsa04662,B cell receptor signaling pathway,
3,17,path:hsa05340,map,https://www.kegg.jp/dbget-bin/www_bget?hsa05340,TITLE:Primary immunodeficiency,
4,28,hsa:6890,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6890,"TAP1, ABC17, ABCB2, APT1, D6S114E, PSF-1, PSF1, RING4, TAP1*0102N, TAP1N",
5,37,hsa:958,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:958,"CD40, Bp50, CDW40, TNFRSF5, p50",
6,38,hsa:959,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:959,"CD40LG, CD154, CD40L, HIGM1, IGM, IMD3, T-BAM, TNFSF5, TRAP, gp39, hCD40L",
7,60,hsa:102723407,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:102723407,"IGH, IGH@, IGHV4, IGHV4-30, IGHV4-b, IGVH, IGVH4-39, IGVH4-b, IGVH4b, IgA, IgT, ighv",
8,65,hsa:102723407,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:102723407,"IGH, IGH@, IGHV4, IGHV4-30, IGHV4-b, IGVH, IGVH4-39, IGVH4-b, IGVH4b, IgA, IgT, ighv",
9,68,hsa:920,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:920,"CD4, CD4mut",
10,69,hsa:925 hsa:926 hsa:927,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:925+hsa:926+hsa:927,"CD8A, CD8, Leu2, p32...",
11,70,hsa:925 hsa:926 hsa:927,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:925+hsa:926+hsa:927,"CD8A, CD8, Leu2, p32...",
12,71,hsa:920,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:920,"CD4, CD4mut",
13,72,hsa:102723407,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:102723407,"IGH, IGH@, IGHV4, IGHV4-30, IGHV4-b, IGVH, IGVH4-39, IGVH4-b, IGVH4b, IgA, IgT, ighv",
14,73,hsa:8517,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:8517,"IKBKG, AMCBX1, EDAID1, FIP-3, FIP3, Fip3p, IKK-gamma, IKKAP1, IKKG, IMD33, IP, IP1, IP2, IPD2, NEMO, ZC2HC9",
15,74,hsa:57379,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:57379,"AICDA, AID, ARP2, CDA2, HEL-S-284, HIGM2",
16,75,hsa:7374,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:7374,"UNG, DGU, HIGM4, HIGM5, UDG, UNG1, UNG15, UNG2",
17,84,hsa:102723407,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:102723407,"IGH, IGH@, IGHV4, IGHV4-30, IGHV4-b, IGVH, IGVH4-39, IGVH4-b, IGVH4b, IgA, IgT, ighv",
18,85,hsa:973,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:973,"CD79A, IGA, MB-1",
19,86,hsa:3543,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:3543,"IGLL1, 14.1, AGM2, CD179b, IGL1, IGL5, IGLJ14.1, IGLL, IGO, IGVPB, VPREB2",
20,87,hsa:29760,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:29760,"BLNK, AGM4, BASH, BLNK-S, LY57, SLP-65, SLP65, bca",
21,88,hsa:695,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:695,"BTK, AGMX1, AT, ATK, BPK, IGHD3, IMD1, PSCTK1, XLA",
22,90,hsa:29851,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:29851,"ICOS, AILIM, CD278, CVID1",
23,91,hsa:115650,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:115650,"TNFRSF13C, BAFF-R, BAFFR, BROMIX, CD268, CVID4, prolixin",
24,92,hsa:930,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:930,"CD19, B4, CVID3",
25,93,hsa:23495,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:23495,"TNFRSF13B, CD267, CVID, CVID2, IGAD2, RYZN, TACI, TNFRSF14B",
26,94,hsa:100,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:100,ADA,
27,95,hsa:3575,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:3575,"IL7R, CD127, CDW127, IL-7R-alpha, IL7RA, ILRA",
28,96,hsa:3561,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:3561,"IL2RG, CD132, CIDX, IL-2RG, IMD4, P64, SCIDX, SCIDX1",
29,97,hsa:3718,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:3718,"JAK3, JAK-3, JAK3_HUMAN, JAKL, L-JAK, LJAK",
30,98,hsa:5896,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5896,"RAG1, RAG-1, RNF74",
31,99,hsa:5897,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5897,"RAG2, RAG-2",
32,100,hsa:915,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:915,"CD3D, CD3-DELTA, IMD19, T3D",
33,101,hsa:916,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:916,"CD3E, IMD18, T3E, TCRE",
34,102,hsa:64421,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:64421,"DCLRE1C, A-SCID, DCLREC1C, RS-SCID, SCIDA, SNM1C",
35,103,hsa:5788,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5788,"PTPRC, B220, CD45, CD45R, GP180, L-CA, LCA, LY5, T200",
36,104,hsa:925,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:925,"CD8A, CD8, Leu2, p32",
37,105,hsa:7535,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:7535,"ZAP70, ADMIO2, IMD48, SRK, STCD, STD, TZK, ZAP-70",
