,id,name,type,link,gene_names,reaction
0,70,path:hsa00565,map,https://www.kegg.jp/dbget-bin/www_bget?hsa00565,Ether lipid metabolism,
1,71,hsa:81490,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:81490,"PTDSS2, PSS2",rn:R07376
2,72,hsa:9791,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:9791,"PTDSS1, LMHD, PSS1, PSSA",rn:R07377
3,73,path:hsa00010,map,https://www.kegg.jp/dbget-bin/www_bget?hsa00010,Glycolysis / Gluconeogenesis,
4,74,ko:K00105,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00105,K00105,rn:R00846
5,75,path:hsa00563,map,https://www.kegg.jp/dbget-bin/www_bget?hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,
6,76,cpd:C06771,compound,https://www.kegg.jp/dbget-bin/www_bget?C06771,C06771,
7,77,cpd:C06772,compound,https://www.kegg.jp/dbget-bin/www_bget?C06772,C06772,
8,78,cpd:C00084,compound,https://www.kegg.jp/dbget-bin/www_bget?C00084,C00084,
9,81,path:hsa00561,map,https://www.kegg.jp/dbget-bin/www_bget?hsa00561,Glycerolipid metabolism,
10,82,hsa:8443,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:8443,"GNPAT, DAP-AT, DAPAT, DHAPAT, RCDP2",rn:R01013
11,83,ko:K01004,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K01004,K01004,rn:R05794
12,86,hsa:10162 hsa:254531 hsa:54947 hsa:79888,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:10162+hsa:254531+hsa:54947+hsa:79888,"LPCAT3, C3F, LPCAT, LPLAT_5, LPLAT12, LPSAT, MBOAT5, OACT5, nessy...",rn:R01318
13,87,hsa:10390 hsa:56994,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:10390+hsa:56994,CEPT1...,rn:R01321
14,88,hsa:5130 hsa:9468,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5130+hsa:9468,"PCYT1A, CCTA, CCTalpha, CT, CTA, CTPCT, PCYT1, SMDCRD...",rn:R01890
15,89,hsa:1119 hsa:1120,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1119+hsa:1120,"CHKA, CHK, CK, CKI, EK, NEDMIMS...",rn:R01021
16,90,hsa:43,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:43,"ACHE, ACEE, ARACHE, N-ACHE, YT",rn:R01026
17,91,hsa:1103,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1103,"CHAT, CHOACTASE, CMS1A, CMS1A2, CMS6",rn:R01023
18,92,hsa:5833,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5833,"PCYT2, ET, SPG82",rn:R02038
19,93,hsa:1119 hsa:1120 hsa:55224 hsa:55500,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1119+hsa:1120+hsa:55224+hsa:55500,"CHKA, CHK, CK, CKI, EK, NEDMIMS...",rn:R01468
20,94,ko:K01114 ko:K16619,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K01114+K16619,K01114...,rn:R01312
21,95,hsa:11145 hsa:54979,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:11145+hsa:54979,"PLAAT3, AdPLA, H-REV107, H-REV107-1, HRASLS3, HREV107, HREV107-1, HREV107-3, HRSL3, PLA2G16, PLAAT-3...",rn:R01316
