,id,name,type,link,gene_names,reaction
0,8,cpd:C03406,compound,https://www.kegg.jp/dbget-bin/www_bget?C03406,C03406,
1,9,cpd:C00327,compound,https://www.kegg.jp/dbget-bin/www_bget?C00327,C00327,
2,10,cpd:C00062,compound,https://www.kegg.jp/dbget-bin/www_bget?C00062,C00062,
3,11,cpd:C00077,compound,https://www.kegg.jp/dbget-bin/www_bget?C00077,C00077,
4,13,cpd:C00169,compound,https://www.kegg.jp/dbget-bin/www_bget?C00169,C00169,
5,16,cpd:C00049,compound,https://www.kegg.jp/dbget-bin/www_bget?C00049,C00049,
6,17,cpd:C00122,compound,https://www.kegg.jp/dbget-bin/www_bget?C00122,C00122,
7,18,cpd:C00014,compound,https://www.kegg.jp/dbget-bin/www_bget?C00014,C00014,
8,20,cpd:C00624,compound,https://www.kegg.jp/dbget-bin/www_bget?C00624,C00624,
9,22,cpd:C04133,compound,https://www.kegg.jp/dbget-bin/www_bget?C04133,C04133,
10,24,cpd:C01250,compound,https://www.kegg.jp/dbget-bin/www_bget?C01250,C01250,
11,30,cpd:C00064,compound,https://www.kegg.jp/dbget-bin/www_bget?C00064,C00064,
12,34,cpd:C00086,compound,https://www.kegg.jp/dbget-bin/www_bget?C00086,C00086,
13,36,cpd:C01010,compound,https://www.kegg.jp/dbget-bin/www_bget?C01010,C01010,
14,38,cpd:C00011,compound,https://www.kegg.jp/dbget-bin/www_bget?C00011,C00011,
15,45,hsa:27165 hsa:2744,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:27165+hsa:2744,"GLS2, GA, GLS, LGA, hLGA...",rn:R00256
16,46,hsa:2752,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:2752,"GLUL, GLNS, GS, PIG43, PIG59",rn:R00253
17,47,ko:K00926,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00926,K00926,rn:R00150
18,48,hsa:1373,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1373,"CPS1, CPSASE1, GATD6, PHN",rn:R00149
19,49,hsa:5009,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5009,"OTC, OCTD, OTCD",rn:R01398
20,50,hsa:445,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:445,"ASS1, ASS, CTLN1",rn:R01954
21,51,path:hsa00250,map,https://www.kegg.jp/dbget-bin/www_bget?hsa00250,"Alanine, aspartate and glutamate metabolism",
22,52,hsa:435,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:435,"ASL, ASAL",rn:R01086
23,53,hsa:383 hsa:384,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:383+hsa:384,ARG1...,rn:R00551
24,54,hsa:162417,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:162417,"NAGS, AGAS, ARGA",rn:R00259
25,55,ko:K00930 ko:K12659 ko:K22478,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00930+K12659+K22478,K00930...,rn:R02649
26,56,ko:K00145 ko:K12659,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00145+K12659,K00145...,rn:R03443
27,57,ko:K00818 ko:K00821,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00818+K00821,K00818...,rn:R02283
28,58,hsa:100526760 hsa:95,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:100526760+hsa:95,ABHD14A-ACY1...,rn:R00669
29,59,ko:K01438,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K01438,K01438,rn:R00669
30,60,ko:K00620,ortholog,https://www.kegg.jp/dbget-bin/www_bget?K00620,K00620,rn:R02282
